Word,Position,Frequency,MI,Log-Likelihood
dolduğu,left,1,6.9448,9.6275
duygusal,left,1,6.9448,9.6275
figanım,left,1,6.9448,9.6275
büyüdüğün,left,1,6.9448,9.6275
attıkları,left,1,6.9448,9.6275
kaçmaya,left,1,6.9448,9.6275
güldüğüm,left,1,6.9448,9.6275
hesaplı,left,1,6.9448,9.6275
saldığım,left,1,6.9448,9.6275
çıktığın,left,1,6.9448,9.6275
vakt-i,left,1,6.9448,9.6275
tükendiği,left,1,6.9448,9.6275
düşmenin,left,1,6.9448,9.6275
dayanabilir,left,1,6.9448,9.6275
uçtuğu,left,1,6.9448,9.6275
dinç,left,1,6.9448,9.6275
bilgelik,left,1,6.9448,9.6275
sevmediğim,left,1,6.9448,9.6275
öğrenirsin,left,1,6.9448,9.6275
değecek,left,1,6.9448,9.6275
köşelerine,left,1,6.9448,9.6275
hazırlanıyordu,left,1,6.9448,9.6275
vardığın,left,1,6.9448,9.6275
damlasında,left,1,6.9448,9.6275
yakınlarda,left,1,6.9448,9.6275
hazar,left,1,6.9448,9.6275
taktığın,left,1,6.9448,9.6275
dayanabilirsen,right,1,6.9448,9.6275
uyanırdım,right,1,6.9448,9.6275
dolsa,right,1,6.9448,9.6275
mabedi,right,1,6.9448,9.6275
zıt,right,1,6.9448,9.6275
vefalı,right,1,6.9448,9.6275
öpmüştüm,right,1,6.9448,9.6275
koridorda,right,1,6.9448,9.6275
muammer,right,1,6.9448,9.6275
sınırlarını,right,1,6.9448,9.6275
dinç,right,1,6.9448,9.6275
gençliğini,right,1,6.9448,9.6275
alışır,right,1,6.9448,9.6275
kargaların,right,1,6.9448,9.6275
hastanelerde,right,1,6.9448,9.6275
kurtulacak,right,1,6.9448,9.6275
koptuğu,right,1,6.9448,9.6275
alanın,right,1,6.9448,9.6275
çemberi,right,1,6.9448,9.6275
incelikle,right,1,6.9448,9.6275
dizlerinde,right,1,6.9448,9.6275
taşıyamaz,right,1,6.9448,9.6275
balmumu,right,1,6.9448,9.6275
ilerleyen,right,1,6.9448,9.6275
çekinme,right,1,6.9448,9.6275
durunca,right,1,6.9448,9.6275
indirir,right,1,6.9448,9.6275
duygularımı,right,1,6.9448,9.6275
saf,right,2,3.4529,9.5736
eli,right,2,3.4370,9.5294
insanın,left,2,3.3449,9.2740
düşmesin,left,1,6.6229,9.1812
ağladığım,left,1,6.6229,9.1812
gerinir,left,1,6.6229,9.1812
dilediğin,left,1,6.6229,9.1812
uçarken,left,1,6.6229,9.1812
kalıcı,left,1,6.6229,9.1812
olmuşsa,left,1,6.6229,9.1812
uluslar,left,1,6.6229,9.1812
yitiyor,left,1,6.6229,9.1812
camlarında,left,1,6.6229,9.1812
med,left,1,6.6229,9.1812
gelmişse,left,1,6.6229,9.1812
söylediğimiz,left,1,6.6229,9.1812
sildi,left,1,6.6229,9.1812
bükülmez,left,1,6.6229,9.1812
etmenin,left,1,6.6229,9.1812
parada,left,1,6.6229,9.1812
uyuduğu,left,1,6.6229,9.1812
elindeyse,left,1,6.6229,9.1812
dokunduğum,left,1,6.6229,9.1812
dindiği,left,1,6.6229,9.1812
tutsağı,right,1,6.6229,9.1812
coşan,right,1,6.6229,9.1812
idrak,right,1,6.6229,9.1812
alam,right,1,6.6229,9.1812
eldeki,right,1,6.6229,9.1812
yasaları,right,1,6.6229,9.1812
gelenek,right,1,6.6229,9.1812
boyanmış,right,1,6.6229,9.1812
kucaklayan,right,1,6.6229,9.1812
limanına,right,1,6.6229,9.1812
vehim,right,1,6.6229,9.1812
varlığımız,right,1,6.6229,9.1812
adımla,right,1,6.6229,9.1812
içilir,right,1,6.6229,9.1812
uzatan,right,1,6.6229,9.1812
patlasın,right,1,6.6229,9.1812
bilmedi,right,1,6.6229,9.1812
sonrasız,right,1,6.6229,9.1812
solmayan,right,1,6.6229,9.1812
devrini,right,1,6.6229,9.1812
yigit,right,1,6.6229,9.1812
kemirdiği,right,1,6.6229,9.1812
kalkarak,right,1,6.6229,9.1812
işkenceden,right,1,6.6229,9.1812
umutsuzluğa,right,1,6.6229,9.1812
askin,right,1,6.6229,9.1812
konuşmanın,right,1,6.6229,9.1812
batında,right,1,6.6229,9.1812
silinsin,right,1,6.6229,9.1812
alnımızda,right,1,6.6229,9.1812
aralığından,right,1,6.6229,9.1812
kucağıma,right,1,6.6229,9.1812
ağlasa,right,1,6.6229,9.1812
yumağı,right,1,6.6229,9.1812
erisin,right,1,6.6229,9.1812
avuçlarımdan,right,1,6.6229,9.1812
çığlık,right,2,3.2724,9.0729
içinden,right,2,3.2583,9.0339
başladı,right,2,3.2305,8.9570
dinle,right,2,3.2033,8.8815
bildikleri,left,1,6.3598,8.8166
olacağı,left,1,6.3598,8.8166
kıskandığım,left,1,6.3598,8.8166
vermeyen,left,1,6.3598,8.8166
beklemediğiniz,left,1,6.3598,8.8166
sevgidir,left,1,6.3598,8.8166
uyanacak,left,1,6.3598,8.8166
edermiş,left,1,6.3598,8.8166
arkamızda,left,1,6.3598,8.8166
içinizde,left,1,6.3598,8.8166
sarıldığım,left,1,6.3598,8.8166
çizdiği,left,1,6.3598,8.8166
buluştuğu,left,1,6.3598,8.8166
yaprağa,left,1,6.3598,8.8166
kaygan,left,1,6.3598,8.8166
baktığın,left,1,6.3598,8.8166
gülşeni,left,1,6.3598,8.8166
tuttuğum,left,1,6.3598,8.8166
alışmış,left,1,6.3598,8.8166
buruşmuş,right,1,6.3598,8.8166
etekleri,right,1,6.3598,8.8166
katlayıp,right,1,6.3598,8.8166
ateşlerle,right,1,6.3598,8.8166
açik,right,1,6.3598,8.8166
uyandın,right,1,6.3598,8.8166
gizi,right,1,6.3598,8.8166
kanattığı,right,1,6.3598,8.8166
baksak,right,1,6.3598,8.8166
nelere,right,1,6.3598,8.8166
yazdın,right,1,6.3598,8.8166
anlardın,right,1,6.3598,8.8166
kazandım,right,1,6.3598,8.8166
nankör,right,1,6.3598,8.8166
yenmek,right,1,6.3598,8.8166
peşin,right,1,6.3598,8.8166
güzelliğinin,right,1,6.3598,8.8166
asude,right,1,6.3598,8.8166
apayrı,right,1,6.3598,8.8166
rusya,right,1,6.3598,8.8166
biriktirdiği,right,1,6.3598,8.8166
güleceksin,right,1,6.3598,8.8166
doğuracak,right,1,6.3598,8.8166
sorsam,right,1,6.3598,8.8166
son,left,4,1.5850,8.7893
kaldı,right,3,2.0993,8.7307
oysa,left,3,2.0703,8.6102
ona,right,3,2.0500,8.5256
gecen,left,1,6.1374,8.5083
korktuğum,left,1,6.1374,8.5083
uçacak,left,1,6.1374,8.5083
bırakmıyor,left,1,6.1374,8.5083
attığın,left,1,6.1374,8.5083
konuştuğum,left,1,6.1374,8.5083
öptüğü,left,1,6.1374,8.5083
seçtim,left,1,6.1374,8.5083
çağla,left,1,6.1374,8.5083
gönlünün,right,1,6.1374,8.5083
bilmiyoruz,right,1,6.1374,8.5083
tutkuyla,right,1,6.1374,8.5083
parmaklarından,right,1,6.1374,8.5083
konuştuk,right,1,6.1374,8.5083
yorulursun,right,1,6.1374,8.5083
şuramızda,right,1,6.1374,8.5083
dostundan,right,1,6.1374,8.5083
kedisi,right,1,6.1374,8.5083
bilmiyorlar,right,1,6.1374,8.5083
acır,right,1,6.1374,8.5083
kangren,right,1,6.1374,8.5083
altta,right,1,6.1374,8.5083
yitirdik,right,1,6.1374,8.5083
yakama,right,1,6.1374,8.5083
sürerken,right,1,6.1374,8.5083
haftada,right,1,6.1374,8.5083
biter,right,2,3.0259,8.3896
nasıl,right,5,1.2087,8.3782
etme,left,2,2.9906,8.2917
başlar,right,2,2.9906,8.2917
döktüğü,left,1,5.9448,8.2412
attığım,left,1,5.9448,8.2412
döndüğüm,left,1,5.9448,8.2412
söylediğim,left,1,5.9448,8.2412
düşündüğüm,left,1,5.9448,8.2412
ağalar,left,1,5.9448,8.2412
çalınan,left,1,5.9448,8.2412
tükenen,left,1,5.9448,8.2412
rüyayı,left,1,5.9448,8.2412
nabzı,left,1,5.9448,8.2412
saatini,right,1,5.9448,8.2412
bağının,right,1,5.9448,8.2412
başladığı,right,1,5.9448,8.2412
dünyâyı,right,1,5.9448,8.2412
yaşayanlar,right,1,5.9448,8.2412
gömdüm,right,1,5.9448,8.2412
açılmamış,right,1,5.9448,8.2412
geçmedi,right,1,5.9448,8.2412
kestiği,right,1,5.9448,8.2412
dinlerim,right,1,5.9448,8.2412
göğünü,right,1,5.9448,8.2412
ölmeye,right,1,5.9448,8.2412
azdı,right,1,5.9448,8.2412
inim,right,1,5.9448,8.2412
içiyorum,right,1,5.9448,8.2412
akışında,right,1,5.9448,8.2412
dışına,right,1,5.9448,8.2412
kendime,right,2,2.9224,8.1027
ve,right,20,0.2916,8.0844
bize,right,3,1.9410,8.0725
beraber,right,2,2.8895,8.0114
belirdi,left,1,5.7749,8.0057
değdiği,left,1,5.7749,8.0057
kalleş,left,1,5.7749,8.0057
susardın,left,1,5.7749,8.0057
geçtiğin,left,1,5.7749,8.0057
sanılır,right,1,5.7749,8.0057
kadındır,right,1,5.7749,8.0057
omuzlarına,right,1,5.7749,8.0057
duyduğun,right,1,5.7749,8.0057
geçmeyen,right,1,5.7749,8.0057
yolculuğu,right,1,5.7749,8.0057
destur,right,1,5.7749,8.0057
kalleş,right,1,5.7749,8.0057
vecd,right,1,5.7749,8.0057
akışına,right,1,5.7749,8.0057
başka,left,4,1.4350,7.9574
aklıma,right,2,2.8468,7.8929
i̇şte,right,3,1.8859,7.8432
zakkum,left,1,5.6229,7.7949
çukuru,left,1,5.6229,7.7949
sarılmak,left,1,5.6229,7.7949
battığı,left,1,5.6229,7.7949
gönlümce,left,1,5.6229,7.7949
çıktığım,left,1,5.6229,7.7949
savruk,left,1,5.6229,7.7949
sildim,right,1,5.6229,7.7949
örtün,right,1,5.6229,7.7949
soluğun,right,1,5.6229,7.7949
tümüyle,right,1,5.6229,7.7949
çıktık,right,1,5.6229,7.7949
zordur,right,1,5.6229,7.7949
umuda,right,1,5.6229,7.7949
çıktığım,right,1,5.6229,7.7949
razıyım,right,1,5.6229,7.7949
ansızın,right,2,2.8052,7.7778
sensiz,left,2,2.7649,7.6659
akan,left,2,2.7550,7.6384
buruşuk,left,1,5.4854,7.6043
bıraktığım,left,1,5.4854,7.6043
müsün,left,1,5.4854,7.6043
değişmez,left,1,5.4854,7.6043
evini,left,1,5.4854,7.6043
'bize,left,1,5.4854,7.6043
getireceğim,left,1,5.4854,7.6043
sığmadı,left,1,5.4854,7.6043
unutursun,right,1,5.4854,7.6043
yelkovan,right,1,5.4854,7.6043
kardeşiz,right,1,5.4854,7.6043
öfkem,right,1,5.4854,7.6043
sığmadı,right,1,5.4854,7.6043
yalansız,right,1,5.4854,7.6043
dönmeyi,right,1,5.4854,7.6043
hükûmet,right,1,5.4854,7.6043
çıksam,right,1,5.4854,7.6043
yağmurla,right,1,5.4854,7.6043
değerini,right,1,5.4854,7.6043
küstah,right,1,5.4854,7.6043
getireceğim,right,1,5.4854,7.6043
içli,right,1,5.4854,7.6043
bedenimi,right,1,5.4854,7.6043
geçme,right,1,5.4854,7.6043
gelmiştir,right,1,5.4854,7.6043
varlığımı,right,1,5.4854,7.6043
düşer,right,2,2.7353,7.5840
yalnızlık,right,2,2.7160,7.5303
sevmek,left,2,2.6874,7.4510
yandığım,left,1,5.3598,7.4303
'bir,left,1,5.3598,7.4303
yaşanacak,left,1,5.3598,7.4303
yutan,left,1,5.3598,7.4303
gençliğimiz,left,1,5.3598,7.4303
hasat,left,1,5.3598,7.4303
cama,right,1,5.3598,7.4303
ismin,right,1,5.3598,7.4303
ateşli,right,1,5.3598,7.4303
aynadaki,right,1,5.3598,7.4303
köyde,right,1,5.3598,7.4303
yaşatmak,right,1,5.3598,7.4303
hercai,right,1,5.3598,7.4303
söylenecek,right,1,5.3598,7.4303
liseli,right,1,5.3598,7.4303
kırlarda,right,1,5.3598,7.4303
bağışlayan,right,1,5.3598,7.4303
biziz,right,1,5.3598,7.4303
hasat,right,1,5.3598,7.4303
belli,right,2,2.6780,7.4250
nedir,left,3,1.7849,7.4233
önce,right,3,1.7517,7.2850
girdiği,left,1,5.2443,7.2702
bitmiyor,left,1,5.2443,7.2702
yarattığı,left,1,5.2443,7.2702
seyrediyorum,left,1,5.2443,7.2702
unutulmaz,left,1,5.2443,7.2702
aldığın,left,1,5.2443,7.2702
dediğim,left,1,5.2443,7.2702
neyledi,left,1,5.2443,7.2702
özlediğim,left,1,5.2443,7.2702
kaldığım,left,1,5.2443,7.2702
kekik,right,1,5.2443,7.2702
gə,right,1,5.2443,7.2702
halimiz,right,1,5.2443,7.2702
bahset,right,1,5.2443,7.2702
hayalimde,right,1,5.2443,7.2702
billur,right,1,5.2443,7.2702
kapanan,right,1,5.2443,7.2702
bendedir,right,1,5.2443,7.2702
avuçlarından,right,1,5.2443,7.2702
yaprak,right,2,2.5785,7.1490
gözlerini,right,2,2.5697,7.1249
i̇çinden,left,1,5.1374,7.1220
sallanan,left,1,5.1374,7.1220
bulduğum,left,1,5.1374,7.1220
masalı,left,1,5.1374,7.1220
kadim,left,1,5.1374,7.1220
kahrolası,left,1,5.1374,7.1220
tetik,left,1,5.1374,7.1220
kalbinden,right,1,5.1374,7.1220
yaşadıkça,right,1,5.1374,7.1220
amerikan,right,1,5.1374,7.1220
beklenen,right,1,5.1374,7.1220
duysam,right,1,5.1374,7.1220
çocuktum,right,1,5.1374,7.1220
farkına,right,1,5.1374,7.1220
gönülde,right,1,5.1374,7.1220
aşkınla,right,1,5.1374,7.1220
kırdım,right,1,5.1374,7.1220
bahçeleri,right,1,5.1374,7.1220
ölse,right,1,5.1374,7.1220
üşümüş,right,1,5.1374,7.1220
bulmaz,right,1,5.1374,7.1220
yaşadın,right,1,5.1374,7.1220
gülmek,right,1,5.1374,7.1220
itiraf,right,1,5.1374,7.1220
varlığı,right,1,5.1374,7.1220
unuttuğum,left,1,5.0379,6.9840
eskir,left,1,5.0379,6.9840
aheste,left,1,5.0379,6.9840
çünki,left,1,5.0379,6.9840
bereketli,left,1,5.0379,6.9840
oynuyor,left,1,5.0379,6.9840
ormanlarda,left,1,5.0379,6.9840
mekan,left,1,5.0379,6.9840
düşsün,right,1,5.0379,6.9840
gülerek,right,1,5.0379,6.9840
başlayacak,right,1,5.0379,6.9840
geçiyordu,right,1,5.0379,6.9840
trenler,right,1,5.0379,6.9840
parçalar,right,1,5.0379,6.9840
ayrıldı,right,1,5.0379,6.9840
yarının,right,1,5.0379,6.9840
bahçelerinde,right,1,5.0379,6.9840
geçmeden,right,1,5.0379,6.9840
memnun,right,1,5.0379,6.9840
hatırlarım,right,1,5.0379,6.9840
ufacık,right,1,5.0379,6.9840
dolup,right,1,5.0379,6.9840
seslerin,right,1,5.0379,6.9840
durur,right,2,2.5102,6.9596
ha,left,2,2.4854,6.8909
geçtiği,left,1,4.9448,6.8549
dişlerini,left,1,4.9448,6.8549
şeydi,left,1,4.9448,6.8549
yakılmış,left,1,4.9448,6.8549
bastı,left,1,4.9448,6.8549
dürüst,right,1,4.9448,6.8549
müjde,right,1,4.9448,6.8549
neylerem,right,1,4.9448,6.8549
tipi,right,1,4.9448,6.8549
karadan,right,1,4.9448,6.8549
defalarca,right,1,4.9448,6.8549
aleme,right,1,4.9448,6.8549
ışıkta,right,1,4.9448,6.8549
ilerde,right,1,4.9448,6.8549
dilenci,right,1,4.9448,6.8549
bilmezdim,right,1,4.9448,6.8549
öldüğü,right,1,4.9448,6.8549
hatırlatan,right,1,4.9448,6.8549
daha,right,6,0.8172,6.7975
gelip,right,2,2.4370,6.7568
orhan,left,1,4.8573,6.7337
âdem,left,1,4.8573,6.7337
yorgunluk,left,1,4.8573,6.7337
yaklaşan,right,1,4.8573,6.7337
duyulan,right,1,4.8573,6.7337
kusursuz,right,1,4.8573,6.7337
bozulmuş,right,1,4.8573,6.7337
i̇ş,right,1,4.8573,6.7337
toprakla,right,1,4.8573,6.7337
aşktır,right,1,4.8573,6.7337
acılarla,right,1,4.8573,6.7337
devr-i,left,1,4.7749,6.6194
salt,left,1,4.7749,6.6194
süzülür,left,1,4.7749,6.6194
bittiği,left,1,4.7749,6.6194
hayatımda,left,1,4.7749,6.6194
çağırırım,right,1,4.7749,6.6194
kaşları,right,1,4.7749,6.6194
öleceğim,right,1,4.7749,6.6194
esti,right,1,4.7749,6.6194
yaşayıp,right,1,4.7749,6.6194
oluyordu,right,1,4.7749,6.6194
bittiği,right,1,4.7749,6.6194
duvarların,right,1,4.7749,6.6194
söyleyeceğim,left,1,4.6969,6.5112
o'nun,left,1,4.6969,6.5112
içindeyim,left,1,4.6969,6.5112
kervan,left,1,4.6969,6.5112
bambaşka,left,1,4.6969,6.5112
araba,right,1,4.6969,6.5112
anladık,right,1,4.6969,6.5112
çıksa,right,1,4.6969,6.5112
geleceksin,right,1,4.6969,6.5112
at,right,2,2.3301,6.4603
duy,left,1,4.6229,6.4086
annenin,left,1,4.6229,6.4086
kurşunu,left,1,4.6229,6.4086
savrulan,left,1,4.6229,6.4086
yaşanmamış,left,1,4.6229,6.4086
pay,right,1,4.6229,6.4086
doğdun,right,1,4.6229,6.4086
muazzam,right,1,4.6229,6.4086
muamma,right,1,4.6229,6.4086
yerdeyim,left,1,4.5525,6.3111
değin,right,1,4.5525,6.3111
kollarına,right,1,4.5525,6.3111
duymak,right,1,4.5525,6.3111
yaratan,right,1,4.5525,6.3111
aşkımı,right,1,4.5525,6.3111
be,right,2,2.2653,6.2808
değil,right,5,0.8982,6.2259
saçlar,left,1,4.4854,6.2180
bırakmak,left,1,4.4854,6.2180
gittiğin,left,1,4.4854,6.2180
kıvılcım,right,1,4.4854,6.2180
ellerimden,right,1,4.4854,6.2180
pollyanna,right,1,4.4854,6.2180
kopup,right,1,4.4854,6.2180
mutsuz,right,1,4.4854,6.2180
kayar,right,1,4.4854,6.2180
sıla,right,1,4.4854,6.2180
yada,right,1,4.4854,6.2180
aynasında,right,1,4.4854,6.2180
gerçek,right,2,2.2374,6.2035
beni,right,7,0.6390,6.2014
ne,right,13,0.3423,6.1689
kanatlarını,left,1,4.4212,6.1291
çürüyen,right,1,4.4212,6.1291
öldürmek,right,1,4.4212,6.1291
açılın,right,1,4.4212,6.1291
dağınık,right,1,4.4212,6.1291
kendimle,right,1,4.4212,6.1291
orda,right,2,2.1966,6.0902
sarp,left,1,4.3598,6.0440
çiçeğe,left,1,4.3598,6.0440
ileri,left,1,4.3598,6.0440
tutma,right,1,4.3598,6.0440
sarp,right,1,4.3598,6.0440
sevinçle,right,1,4.3598,6.0440
ölümcül,right,1,4.3598,6.0440
ileri,right,1,4.3598,6.0440
beklediğim,left,1,4.3009,5.9624
duyulur,left,1,4.3009,5.9624
eş,left,1,4.3009,5.9624
köpük,left,1,4.3009,5.9624
duvarda,right,1,4.3009,5.9624
uysal,right,1,4.3009,5.9624
ölüyor,right,1,4.3009,5.9624
kahır,right,1,4.3009,5.9624
yiyip,right,1,4.3009,5.9624
diyor,right,2,2.1504,5.9621
yar,right,2,2.1439,5.9441
acemi,left,1,4.2443,5.8839
ötesinde,left,1,4.2443,5.8839
ötesinde,right,1,4.2443,5.8839
baska,right,1,4.2443,5.8839
dişi,right,1,4.2443,5.8839
eğilip,right,1,4.2443,5.8839
çektiğim,right,1,4.2443,5.8839
sür,right,1,4.2443,5.8839
başından,right,1,4.2443,5.8839
bahara,right,1,4.2443,5.8839
üzülme,right,1,4.2443,5.8839
işaret,right,1,4.2443,5.8839
sanki,right,3,1.4108,5.8674
öğle,left,1,4.1899,5.8084
bilsem,left,1,4.1899,5.8084
çekiyor,left,1,4.1899,5.8084
beklemek,left,1,4.1899,5.8084
öğle,right,1,4.1899,5.8084
sevilmek,right,1,4.1899,5.8084
bi̇r,right,1,4.1899,5.8084
baharın,right,1,4.1899,5.8084
yıkılmış,right,1,4.1899,5.8084
miydin,left,1,4.1374,5.7357
kayboldu,left,1,4.1374,5.7357
köhne,left,1,4.1374,5.7357
çocukluk,left,1,4.1374,5.7357
aldığım,left,1,4.1374,5.7357
ağaca,right,1,4.1374,5.7357
sandım,right,1,4.1374,5.7357
bilerek,right,1,4.1374,5.7357
i̇nsanın,right,1,4.1374,5.7357
kimisi,right,1,4.1374,5.7357
sonsuzluğa,right,1,4.1374,5.7357
anası,right,1,4.1374,5.7357
sevdiğim,left,2,2.0683,5.7345
sevdiğim,right,2,2.0683,5.7345
umudun,right,1,4.0868,5.6655
sustu,right,1,4.0868,5.6655
güneşli,right,1,4.0868,5.6655
kendinizi,right,1,4.0868,5.6655
bulamadım,right,1,4.0868,5.6655
yolum,right,1,4.0868,5.6655
dağda,right,1,4.0868,5.6655
koptu,right,1,4.0868,5.6655
diyecek,right,1,4.0868,5.6655
gözlerimden,right,1,4.0868,5.6655
olduğunu,right,2,2.0379,5.6502
aşksız,left,1,4.0379,5.5977
gündür,left,1,4.0379,5.5977
başıboş,left,1,4.0379,5.5977
saygı,right,1,4.0379,5.5977
yaşadığım,right,1,4.0379,5.5977
olmuştu,right,1,4.0379,5.5977
yalın,right,1,4.0379,5.5977
sə,right,1,4.0379,5.5977
başıboş,right,1,4.0379,5.5977
renkler,right,1,4.0379,5.5977
rüzgarda,right,1,4.0379,5.5977
ki,right,9,0.4449,5.5514
arasında,right,2,1.9964,5.5352
şehirler,left,1,3.9906,5.5321
2,left,1,3.9906,5.5321
değilse,right,1,3.9906,5.5321
şairler,right,1,3.9906,5.5321
kömür,right,1,3.9906,5.5321
ağzından,right,1,3.9906,5.5321
rezil,right,1,3.9906,5.5321
yaktım,right,1,3.9906,5.5321
çocuğum,right,1,3.9906,5.5321
dedikleri,right,1,3.9906,5.5321
masmavi,left,1,3.9448,5.4686
koyu,right,1,3.9448,5.4686
kırılmış,right,1,3.9448,5.4686
gönlüme,right,1,3.9448,5.4686
gayri,left,1,3.9004,5.4071
uyur,left,1,3.9004,5.4071
işık,left,1,3.9004,5.4071
otlar,right,1,3.9004,5.4071
duru,right,1,3.9004,5.4071
köprü,right,1,3.9004,5.4071
gayri,right,1,3.9004,5.4071
döndüm,right,1,3.9004,5.4071
yepyeni,right,1,3.9004,5.4071
uyur,right,1,3.9004,5.4071
geçer,right,2,1.9448,5.3921
yaşıyorum,left,1,3.8573,5.3474
tozlu,left,1,3.8573,5.3474
sevdiğin,left,1,3.8573,5.3474
kesilir,left,1,3.8573,5.3474
aralık,right,1,3.8573,5.3474
hicran,right,1,3.8573,5.3474
derdine,right,1,3.8573,5.3474
güzelliğini,right,1,3.8573,5.3474
varken,right,1,3.8573,5.3474
donuk,right,1,3.8573,5.3474
tanıdım,right,1,3.8573,5.3474
dolaşır,right,1,3.8573,5.3474
fazıl,left,1,3.8155,5.2894
yaşadığımız,right,1,3.8155,5.2894
boş,right,2,1.8895,5.2388
zindan,right,1,3.7749,5.2331
açtım,left,1,3.7353,5.1783
lale,right,1,3.7353,5.1783
kalkıp,right,1,3.7353,5.1783
oturur,right,1,3.7353,5.1783
çarpar,right,1,3.7353,5.1783
sevdiği,left,1,3.6969,5.1249
devran,right,1,3.6969,5.1249
veda,right,1,3.6969,5.1249
bildim,right,1,3.6969,5.1249
verdiğin,right,1,3.6969,5.1249
gelen,left,2,1.8363,5.0912
ancak,right,2,1.8310,5.0767
ikinci,left,1,3.6594,5.0730
tez,left,1,3.6594,5.0730
gideceğim,right,1,3.6594,5.0730
hızlı,right,1,3.6594,5.0730
anlıyorum,right,1,3.6594,5.0730
mermer,right,1,3.6594,5.0730
sarışın,right,1,3.6594,5.0730
bütün,right,5,0.7305,5.0632
doldu,left,1,3.6229,5.0223
bildiğim,left,1,3.6229,5.0223
deyince,left,1,3.6229,5.0223
içimi,left,1,3.6229,5.0223
aşıklar,right,1,3.6229,5.0223
böylesine,right,1,3.6229,5.0223
duvarları,right,1,3.6229,5.0223
denen,right,1,3.6229,5.0223
oradan,right,1,3.6229,5.0223
kuş,right,2,1.8052,5.0052
karşı,right,2,1.8001,4.9910
olmuşum,left,1,3.5872,4.9730
yakan,left,1,3.5872,4.9730
gelsen,right,1,3.5872,4.9730
önümde,right,1,3.5872,4.9730
çok,right,5,0.7150,4.9560
indi,left,1,3.5525,4.9248
azar,left,1,3.5525,4.9248
umutsuz,left,1,3.5525,4.9248
umutsuz,right,1,3.5525,4.9248
anlarsın,right,1,3.5525,4.9248
üzerinden,right,1,3.5525,4.9248
git,left,2,1.7649,4.8933
sen,right,8,0.4405,4.8849
benzeyen,left,1,3.5185,4.8777
hesap,left,1,3.5185,4.8777
butun,left,1,3.5185,4.8777
öter,right,1,3.5185,4.8777
gerçi,left,1,3.4854,4.8317
acıyı,right,1,3.4854,4.8317
yorgunum,right,1,3.4854,4.8317
şen,right,1,3.4854,4.8317
zarar,right,1,3.4854,4.8317
çünkü,right,3,1.1525,4.7933
olmaya,left,1,3.4529,4.7868
yitirdim,left,1,3.4529,4.7868
göğsüne,right,1,3.4529,4.7868
birbirimizi,right,1,3.4529,4.7868
hayatım,right,1,3.4529,4.7868
diyordu,left,1,3.4212,4.7428
buğulu,left,1,3.4212,4.7428
istedim,right,1,3.4212,4.7428
gördün,right,1,3.4212,4.7428
geçerken,right,1,3.4212,4.7428
say,right,1,3.4212,4.7428
buğulu,right,1,3.4212,4.7428
ölürüm,right,1,3.4212,4.7428
candan,right,1,3.4212,4.7428
nice,right,2,1.7064,4.7311
ateşe,left,1,3.3902,4.6998
yitik,left,1,3.3598,4.6577
diri,right,1,3.3598,4.6577
arar,right,1,3.3598,4.6577
fark,right,1,3.3301,4.6165
dokuz,right,1,3.3301,4.6165
karac'oğlan,right,1,3.3301,4.6165
bağlı,left,1,3.3009,4.5761
acaba,right,1,3.3009,4.5761
iste,right,1,3.3009,4.5761
anla,right,1,3.3009,4.5761
karlı,right,1,3.3009,4.5761
içim,right,1,3.3009,4.5761
bağlı,right,1,3.3009,4.5761
vuran,left,1,3.2724,4.5365
gelse,left,1,3.2724,4.5365
gölgesi,right,1,3.2724,4.5365
yaşamın,right,1,3.2724,4.5365
yüzüm,right,1,3.2724,4.5365
iz,right,1,3.2724,4.5365
kader,right,1,3.2724,4.5365
gidecek,left,1,3.2443,4.4976
sol,right,1,3.2443,4.4976
dudaklarında,left,1,3.2169,4.4595
kapının,right,1,3.2169,4.4595
şeytan,right,1,3.2169,4.4595
büyüyen,right,1,3.2169,4.4595
çalan,right,1,3.2169,4.4595
yumuşak,right,1,3.2169,4.4595
birçok,right,1,3.2169,4.4595
taşıyan,right,1,3.2169,4.4595
geçtim,left,1,3.1899,4.4221
yerlere,left,1,3.1899,4.4221
sırtında,right,1,3.1899,4.4221
gördük,right,1,3.1899,4.4221
yanıma,right,1,3.1899,4.4221
baktı,right,1,3.1634,4.3854
vermek,right,1,3.1634,4.3854
kalbinde,left,1,3.1374,4.3494
sabır,right,1,3.1374,4.3494
bakıyor,left,1,3.1119,4.3140
arkasında,right,1,3.1119,4.3140
karanlığı,left,1,3.0868,4.2792
gelince,right,1,3.0868,4.2792
oldu,right,3,1.0259,4.2667
unutmak,right,1,3.0621,4.2450
nefret,right,1,3.0621,4.2450
aşkın,right,2,1.5102,4.1870
saçların,left,1,3.0140,4.1784
açan,right,1,3.0140,4.1784
evine,right,1,3.0140,4.1784
görünmez,right,1,3.0140,4.1784
yol,right,2,1.4895,4.1297
etmez,left,1,2.9675,4.1138
sözler,left,1,2.9675,4.1138
tuhaf,left,1,2.9675,4.1138
degil,left,1,2.9448,4.0823
görünür,left,1,2.9448,4.0823
degil,right,1,2.9448,4.0823
kalbi,right,1,2.9448,4.0823
dursun,left,1,2.9224,4.0513
akıp,right,1,2.9224,4.0513
birinin,right,1,2.9224,4.0513
bembeyaz,right,1,2.9224,4.0513
birisi,right,1,2.9224,4.0513
geldi,right,2,1.4569,4.0395
