Word,Position,Frequency,MI,Log-Likelihood
böyle,right,6,1.5640,13.0087
durmuş,left,2,4.6229,12.8173
hayat,right,4,2.2759,12.6203
hissettiğimiz,left,1,8.9448,12.4001
tegafül,left,1,8.9448,12.4001
yaratırdım,left,1,8.9448,12.4001
yolduğu,left,1,8.9448,12.4001
bitimindeyiz,left,1,8.9448,12.4001
çoğalmaz,left,1,8.9448,12.4001
aho,left,1,8.9448,12.4001
uzaklaştığı,left,1,8.9448,12.4001
birlerleri,left,1,8.9448,12.4001
/her,left,1,8.9448,12.4001
çaldığın,left,1,8.9448,12.4001
mahalleninistediği,left,1,8.9448,12.4001
ağladığımız,left,1,8.9448,12.4001
çamaşırlarda,left,1,8.9448,12.4001
kapaklandığım,left,1,8.9448,12.4001
halk-i,left,1,8.9448,12.4001
durdurulmuş,left,1,8.9448,12.4001
bayılan,left,1,8.9448,12.4001
i̇stadeğimiz,left,1,8.9448,12.4001
kahrolmuş,left,1,8.9448,12.4001
güttüğü,left,1,8.9448,12.4001
evlenmeye,left,1,8.9448,12.4001
entaridir,left,1,8.9448,12.4001
soluklarla,left,1,8.9448,12.4001
kulübesinin,left,1,8.9448,12.4001
katrandır,left,1,8.9448,12.4001
islanıyor,left,1,8.9448,12.4001
olmasada,left,1,8.9448,12.4001
yişib,left,1,8.9448,12.4001
törpüleyen,left,1,8.9448,12.4001
seçmeli,left,1,8.9448,12.4001
biryerleri,left,1,8.9448,12.4001
katlasın,left,1,8.9448,12.4001
yürüyüşteydi,left,1,8.9448,12.4001
i̇stendiği,left,1,8.9448,12.4001
götürecektir,left,1,8.9448,12.4001
sağaltan,left,1,8.9448,12.4001
bıçaktı,left,1,8.9448,12.4001
dâhîyi,left,1,8.9448,12.4001
yakaladığım,left,1,8.9448,12.4001
itildiği,left,1,8.9448,12.4001
başardığım,left,1,8.9448,12.4001
uyandırdığım,left,1,8.9448,12.4001
gösterisi,left,1,8.9448,12.4001
hisarı,left,1,8.9448,12.4001
mezarlıktır,left,1,8.9448,12.4001
sıyrıldığımız,left,1,8.9448,12.4001
şi̇mdi̇ki̇,left,1,8.9448,12.4001
-kimi,left,1,8.9448,12.4001
harcıyorsun,left,1,8.9448,12.4001
güçlüsü,left,1,8.9448,12.4001
yaylayacak,left,1,8.9448,12.4001
yaşamaktı,left,1,8.9448,12.4001
işıklıysa,left,1,8.9448,12.4001
i̇'lanı,left,1,8.9448,12.4001
bozulunca,left,1,8.9448,12.4001
senetlerden,left,1,8.9448,12.4001
dokunulduğu,left,1,8.9448,12.4001
doyulmamış,left,1,8.9448,12.4001
lolipop,left,1,8.9448,12.4001
ölçülemeyen,left,1,8.9448,12.4001
düsüncenizde,left,1,8.9448,12.4001
kondukları,left,1,8.9448,12.4001
del-eyledi,left,1,8.9448,12.4001
söndürdüğün,left,1,8.9448,12.4001
kefenlenmekden,left,1,8.9448,12.4001
kanıtlayarak,left,1,8.9448,12.4001
uymazsın,left,1,8.9448,12.4001
endişeye,left,1,8.9448,12.4001
boğdukları,left,1,8.9448,12.4001
alışamamalıyım…,left,1,8.9448,12.4001
uyku…,left,1,8.9448,12.4001
tutunmayacağım,left,1,8.9448,12.4001
şetâretli,left,1,8.9448,12.4001
del'olduğu,left,1,8.9448,12.4001
nûh,left,1,8.9448,12.4001
aşkımıza,left,1,8.9448,12.4001
edildiğiniz,left,1,8.9448,12.4001
esenlikte,left,1,8.9448,12.4001
düğümle,left,1,8.9448,12.4001
eskibir,left,1,8.9448,12.4001
sarmanın,left,1,8.9448,12.4001
değerlendi,left,1,8.9448,12.4001
elvedalarla,left,1,8.9448,12.4001
boğuldukları,left,1,8.9448,12.4001
lânı,left,1,8.9448,12.4001
hançerinle,left,1,8.9448,12.4001
sunmada,left,1,8.9448,12.4001
çevirdiğim,left,1,8.9448,12.4001
kazandigimiz,left,1,8.9448,12.4001
yasadigi,left,1,8.9448,12.4001
ilerlemeyen,left,1,8.9448,12.4001
gerekenlerden,left,1,8.9448,12.4001
giyinmişsin,left,1,8.9448,12.4001
bıkıyor,left,1,8.9448,12.4001
geçmişimizi,left,1,8.9448,12.4001
toplam,left,1,8.9448,12.4001
duldur,left,1,8.9448,12.4001
sancıydı,left,1,8.9448,12.4001
ruhumsa,left,1,8.9448,12.4001
korlaştırır,left,1,8.9448,12.4001
çıkaracağın,left,1,8.9448,12.4001
çayını,left,1,8.9448,12.4001
avunmadayız,left,1,8.9448,12.4001
parçaladığım,left,1,8.9448,12.4001
kahırdır,left,1,8.9448,12.4001
savrulursun,left,1,8.9448,12.4001
betiklerine,right,1,8.9448,12.4001
anımsanıyorsa,right,1,8.9448,12.4001
düşürdüğümü,right,1,8.9448,12.4001
düşlediğim,right,1,8.9448,12.4001
aho,right,1,8.9448,12.4001
çıplaklığımızı,right,1,8.9448,12.4001
cehlinden,right,1,8.9448,12.4001
unutmadığı,right,1,8.9448,12.4001
kurtulabilmesi,right,1,8.9448,12.4001
ısınmayacağım,right,1,8.9448,12.4001
dişlisi,right,1,8.9448,12.4001
bosalir,right,1,8.9448,12.4001
aksoylu,right,1,8.9448,12.4001
fön,right,1,8.9448,12.4001
ateşböceklerini,right,1,8.9448,12.4001
ama-tevazu,right,1,8.9448,12.4001
gitarı,right,1,8.9448,12.4001
çözüşü,right,1,8.9448,12.4001
yenilmedi,right,1,8.9448,12.4001
unuttururdu,right,1,8.9448,12.4001
yaptıklarımızın,right,1,8.9448,12.4001
taşırdım,right,1,8.9448,12.4001
görmediğindendir,right,1,8.9448,12.4001
hüzn-ü,right,1,8.9448,12.4001
doymuşam,right,1,8.9448,12.4001
kaplanı,right,1,8.9448,12.4001
katranıdır,right,1,8.9448,12.4001
özene,right,1,8.9448,12.4001
yenile,right,1,8.9448,12.4001
dışındaydım,right,1,8.9448,12.4001
değirmenlerimize,right,1,8.9448,12.4001
çinilere,right,1,8.9448,12.4001
bağlanmadı,right,1,8.9448,12.4001
duyurunca,right,1,8.9448,12.4001
hatırlıyordu,right,1,8.9448,12.4001
kollamaktadır,right,1,8.9448,12.4001
başlardaki,right,1,8.9448,12.4001
kalkanı,right,1,8.9448,12.4001
silemesin,right,1,8.9448,12.4001
müzikali,right,1,8.9448,12.4001
perçemdir,right,1,8.9448,12.4001
hoşgörülü,right,1,8.9448,12.4001
kürt'te,right,1,8.9448,12.4001
tevekkeli,right,1,8.9448,12.4001
tabîatin,right,1,8.9448,12.4001
birimiydi,right,1,8.9448,12.4001
umuyordunuz,right,1,8.9448,12.4001
eği̇li̇p,right,1,8.9448,12.4001
fersahlarca,right,1,8.9448,12.4001
kapanırsa,right,1,8.9448,12.4001
kazanmışsındır,right,1,8.9448,12.4001
aşındıran,right,1,8.9448,12.4001
çökmekte,right,1,8.9448,12.4001
aşıkken,right,1,8.9448,12.4001
yardeyip,right,1,8.9448,12.4001
coşturur,right,1,8.9448,12.4001
akranları,right,1,8.9448,12.4001
ocağınıza,right,1,8.9448,12.4001
boğazlayacağım,right,1,8.9448,12.4001
otuza,right,1,8.9448,12.4001
yaklaşamayacağım,right,1,8.9448,12.4001
sevmişliğim,right,1,8.9448,12.4001
-sus,right,1,8.9448,12.4001
kavuşsa,right,1,8.9448,12.4001
yaşanmamışlıkların,right,1,8.9448,12.4001
farıdı,right,1,8.9448,12.4001
merhamatle,right,1,8.9448,12.4001
ısıracağı,right,1,8.9448,12.4001
dar…,right,1,8.9448,12.4001
müftekır,right,1,8.9448,12.4001
geçmeyecektir,right,1,8.9448,12.4001
esirgemeyi,right,1,8.9448,12.4001
sîneye,right,1,8.9448,12.4001
varmanın,right,1,8.9448,12.4001
şakırlar,right,1,8.9448,12.4001
yakınmalarımı,right,1,8.9448,12.4001
sürurumu,right,1,8.9448,12.4001
sâmi'anın,right,1,8.9448,12.4001
bütünlemeli,right,1,8.9448,12.4001
sınayın,right,1,8.9448,12.4001
yasamakta,right,1,8.9448,12.4001
öpüşlerime,right,1,8.9448,12.4001
merdivenine,right,1,8.9448,12.4001
ürpertiyordu,right,1,8.9448,12.4001
yıldızlaşan,right,1,8.9448,12.4001
toplanma,right,1,8.9448,12.4001
rehavet,right,1,8.9448,12.4001
sarrafları,right,1,8.9448,12.4001
gençlerbirliği,right,1,8.9448,12.4001
biliniyordu,right,1,8.9448,12.4001
